account_id,customer_id,category,currency,account_title,opening_date,working_balance,posting_restrict,product
10011903,100119,6001,INR,ISHITA LEE - SAVINGS,2018-11-06,830878.12,,SAVINGS
10012001,100120,1001,INR,MANISH SINGH - CURRENT,2019-03-24,1618186.99,KYC,CURRENT
10012101,100121,1001,INR,SHRUTI BANERJEE - CURRENT,2022-08-03,795951.02,KYC,CURRENT
10012102,100121,6001,INR,SHRUTI BANERJEE - SAVINGS,2023-09-28,1731709.29,,SAVINGS
10012201,100122,1001,INR,VARUN PILLAI - CURRENT,2020-04-24,359791.77,,CURRENT
10012301,100123,1001,INR,ANANYA AGARWAL - CURRENT,2020-01-10,687383.69,,CURRENT
10012302,100123,6001,INR,ANANYA AGARWAL - SAVINGS,2019-04-24,1786856.64,,SAVINGS
10012401,100124,1001,INR,HARISH SHARMA - CURRENT,2016-02-03,1494322.55,KYC,CURRENT
10012402,100124,6001,INR,HARISH SHARMA - SAVINGS,2024-05-08,1234910.39,,SAVINGS
10012403,100124,1001,INR,HARISH SHARMA - CURRENT,2024-05-10,1639244.59,,CURRENT
10012501,100125,1001,INR,MEERA VERMA - CURRENT,2022-10-22,516220.18,,CURRENT
10012601,100126,1001,USD,SAMEER NAIR - CURRENT,2024-08-09,18938.32,,CURRENT
10012602,100126,1001,INR,SAMEER NAIR - CURRENT,2023-01-14,1131404.21,,CURRENT
10012701,100127,1001,INR,RITIKA LEE - CURRENT,2017-01-04,1043863.49,,CURRENT
10012702,100127,1001,USD,RITIKA LEE - CURRENT,2024-10-26,5179.71,,CURRENT
10012801,100128,1001,INR,GAURAV SINGH - CURRENT,2025-04-24,956237.99,,CURRENT
10012901,100129,1001,INR,NANDINI BANERJEE - CURRENT,2025-01-16,1645417.04,,CURRENT
10012902,100129,6001,INR,NANDINI BANERJEE - SAVINGS,2025-01-07,1566908.93,,SAVINGS
10012903,100129,6001,INR,NANDINI BANERJEE - SAVINGS,2017-07-30,1733263.59,,SAVINGS
10013001,100130,1001,INR,RAJESH PILLAI - CURRENT,2023-07-25,1217868.22,,CURRENT
10013002,100130,1001,INR,RAJESH PILLAI - CURRENT,2025-01-08,1741134.64,,CURRENT
10013101,100131,1001,INR,PRIYA AGARWAL - CURRENT,2017-05-21,711142.35,KYC,CURRENT
10013102,100131,6001,INR,PRIYA AGARWAL - SAVINGS,2023-07-16,1211581.84,,SAVINGS
10013201,100132,1001,INR,AMIR SHARMA - CURRENT,2020-03-01,1149930.86,,CURRENT
10013202,100132,6001,INR,AMIR SHARMA - SAVINGS,2016-04-12,422028.69,,SAVINGS
10013301,100133,1001,INR,SNEHA VERMA - CURRENT,2023-04-06,591419.3,KYC,CURRENT
10013401,100134,1001,INR,NIKHIL NAIR - CURRENT,2023-11-11,1483203.85,,CURRENT
10013402,100134,6001,INR,NIKHIL NAIR - SAVINGS,2017-07-26,735820.1,,SAVINGS
10013403,100134,6001,INR,NIKHIL NAIR - SAVINGS,2021-07-10,68426.01,,SAVINGS
10013501,100135,1001,INR,TANVI LEE - CURRENT,2022-01-10,423787.86,,CURRENT
10013502,100135,6001,INR,TANVI LEE - SAVINGS,2023-07-09,817378.3,,SAVINGS
10013503,100135,1001,INR,TANVI LEE - CURRENT,2022-01-21,1254126.46,,CURRENT
10013601,100136,1001,INR,VIKRAM SINGH - CURRENT,2020-08-26,279409.44,,CURRENT
10013701,100137,1001,INR,MEGHA BANERJEE - CURRENT,2019-02-19,1108750.51,,CURRENT
10013801,100138,1001,INR,RAHUL PILLAI - CURRENT,2018-08-25,667898.13,KYC,CURRENT
10013802,100138,1001,INR,RAHUL PILLAI - CURRENT,2023-09-09,180189.29,,CURRENT
10013803,100138,6001,INR,RAHUL PILLAI - SAVINGS,2023-03-26,1623200.64,,SAVINGS
10013901,100139,1001,INR,ANITA AGARWAL - CURRENT,2017-05-15,342870.7,,CURRENT
10013902,100139,1001,INR,ANITA AGARWAL - CURRENT,2017-01-10,1483807.66,,CURRENT
10014001,100140,1001,INR,ARJUN SHARMA - CURRENT,2024-10-27,39911.38,,CURRENT
10014101,100141,1001,INR,DIVYA VERMA - CURRENT,2025-04-21,370562.23,,CURRENT
10014201,100142,1001,INR,KARAN NAIR - CURRENT,2025-10-02,389888.51,,CURRENT
10014202,100142,6001,INR,KARAN NAIR - SAVINGS,2024-11-04,1394201.89,,SAVINGS
10014301,100143,1001,INR,NEHA LEE - CURRENT,2017-08-15,1545343.42,,CURRENT
10014302,100143,1001,INR,NEHA LEE - CURRENT,2024-12-14,973077.5,,CURRENT
10014401,100144,1001,INR,ROHAN SINGH - CURRENT,2016-04-15,1190412.17,,CURRENT
10014402,100144,6001,INR,ROHAN SINGH - SAVINGS,2024-11-03,645798.74,,SAVINGS
10014403,100144,6001,INR,ROHAN SINGH - SAVINGS,2017-12-14,583802.97,,SAVINGS
10014501,100145,1001,INR,POOJA BANERJEE - CURRENT,2017-04-10,758597.56,,CURRENT
10014502,100145,1001,INR,POOJA BANERJEE - CURRENT,2024-09-21,858028.37,,CURRENT
10014601,100146,1001,INR,SANJAY PILLAI - CURRENT,2018-06-26,814431.75,,CURRENT
10014701,100147,1001,INR,KAVYA AGARWAL - CURRENT,2025-09-21,1410133.75,,CURRENT
10014702,100147,1001,INR,KAVYA AGARWAL - CURRENT,2023-03-20,543982.15,,CURRENT
10014801,100148,1001,INR,ADITYA SHARMA - CURRENT,2020-07-03,862948.97,,CURRENT
10014802,100148,6001,INR,ADITYA SHARMA - SAVINGS,2023-12-27,195669.35,,SAVINGS
10014901,100149,1001,INR,ISHITA VERMA - CURRENT,2016-09-26,146801.67,KYC,CURRENT
10014902,100149,6001,INR,ISHITA VERMA - SAVINGS,2022-07-25,1124335.01,,SAVINGS
10015001,100150,1001,INR,MANISH NAIR - CURRENT,2021-12-13,1790338.02,,CURRENT
10015002,100150,6001,INR,MANISH NAIR - SAVINGS,2020-10-28,910733.61,,SAVINGS
10015101,100151,1001,INR,SHRUTI LEE - CURRENT,2025-07-25,1263650.28,,CURRENT
10015102,100151,1001,INR,SHRUTI LEE - CURRENT,2022-03-08,1580054.62,,CURRENT
10015103,100151,1001,INR,SHRUTI LEE - CURRENT,2021-01-23,388218.98,,CURRENT
10015201,100152,1001,INR,VARUN SINGH - CURRENT,2020-06-21,1489613.48,,CURRENT
10015202,100152,6001,INR,VARUN SINGH - SAVINGS,2020-10-14,172511.88,,SAVINGS
10015301,100153,1001,INR,ANANYA BANERJEE - CURRENT,2023-09-14,1716536.14,,CURRENT
10015302,100153,1001,INR,ANANYA BANERJEE - CURRENT,2025-04-29,122239.25,,CURRENT
10015401,100154,1001,INR,HARISH PILLAI - CURRENT,2020-03-06,1340643.26,,CURRENT
10015402,100154,1001,INR,HARISH PILLAI - CURRENT,2022-04-19,1056257.45,,CURRENT
10015403,100154,6001,INR,HARISH PILLAI - SAVINGS,2025-10-18,740339.33,,SAVINGS
10015501,100155,1001,INR,MEERA AGARWAL - CURRENT,2019-03-24,1298327.63,,CURRENT
10015601,100156,1001,INR,SAMEER SHARMA - CURRENT,2018-05-21,1040886.46,,CURRENT
10015602,100156,6001,INR,SAMEER SHARMA - SAVINGS,2025-07-02,868717.63,,SAVINGS
10015701,100157,1001,INR,RITIKA VERMA - CURRENT,2024-07-20,1521904.09,KYC,CURRENT
10015702,100157,6001,INR,RITIKA VERMA - SAVINGS,2020-10-23,408247.13,,SAVINGS
10015703,100157,1001,INR,RITIKA VERMA - CURRENT,2025-03-06,1754222.06,,CURRENT
10015801,100158,1001,INR,GAURAV NAIR - CURRENT,2022-10-30,1002796.45,,CURRENT
10015901,100159,1001,INR,NANDINI LEE - CURRENT,2018-01-08,482504.73,,CURRENT
10016001,100160,1001,INR,RAJESH SINGH - CURRENT,2018-01-13,1658885.23,KYC,CURRENT
10016101,100161,1001,INR,PRIYA BANERJEE - CURRENT,2017-08-04,722310.64,,CURRENT
10016201,100162,1001,INR,AMIR PILLAI - CURRENT,2020-03-20,166526.19,KYC,CURRENT
10016301,100163,1001,INR,SNEHA AGARWAL - CURRENT,2024-02-03,667040.49,,CURRENT
10016302,100163,6001,INR,SNEHA AGARWAL - SAVINGS,2022-09-08,1694621.25,,SAVINGS
10016401,100164,1001,INR,NIKHIL SHARMA - CURRENT,2017-10-06,96116.97,,CURRENT
10016402,100164,1001,INR,NIKHIL SHARMA - CURRENT,2016-11-30,90997.84,,CURRENT
10016403,100164,6001,INR,NIKHIL SHARMA - SAVINGS,2021-06-12,1191996.74,,SAVINGS
10016501,100165,1001,INR,TANVI VERMA - CURRENT,2021-09-29,389200.78,,CURRENT
10016502,100165,6001,INR,TANVI VERMA - SAVINGS,2019-03-06,774699.67,,SAVINGS
10016601,100166,1001,INR,VIKRAM NAIR - CURRENT,2018-06-22,949190.99,KYC,CURRENT
10016701,100167,1001,INR,MEGHA LEE - CURRENT,2019-05-19,15325.22,,CURRENT
10016801,100168,1001,INR,RAHUL SINGH - CURRENT,2017-05-06,522070.67,,CURRENT
10016901,100169,1001,INR,ANITA BANERJEE - CURRENT,2020-04-06,317487.1,,CURRENT
10016902,100169,6001,USD,ANITA BANERJEE - SAVINGS,2019-12-21,16767.59,,SAVINGS
10016903,100169,6001,INR,ANITA BANERJEE - SAVINGS,2016-03-17,77580.62,,SAVINGS
10017001,100170,1001,INR,ARJUN PILLAI - CURRENT,2020-07-14,564539.54,KYC,CURRENT
10017002,100170,1001,INR,ARJUN PILLAI - CURRENT,2017-04-16,752722.59,,CURRENT
10017101,100171,1001,INR,DIVYA AGARWAL - CURRENT,2022-12-06,310613.92,,CURRENT
10017201,100172,1001,INR,KARAN SHARMA - CURRENT,2020-11-23,652292.07,,CURRENT
10017301,100173,1001,INR,NEHA VERMA - CURRENT,2021-11-16,1060585.01,,CURRENT
10017302,100173,6001,INR,NEHA VERMA - SAVINGS,2024-05-12,1567138.16,,SAVINGS
10017401,100174,1001,INR,ROHAN NAIR - CURRENT,2017-04-12,303886.68,KYC,CURRENT
10017402,100174,6001,INR,ROHAN NAIR - SAVINGS,2024-09-14,350235.82,,SAVINGS
10017501,100175,1001,INR,POOJA LEE - CURRENT,2018-08-25,1474379.06,,CURRENT
10017601,100176,1001,INR,SANJAY SINGH - CURRENT,2017-12-11,461858.85,,CURRENT
10017602,100176,1001,INR,SANJAY SINGH - CURRENT,2023-05-08,1368747.21,,CURRENT
10017603,100176,6001,INR,SANJAY SINGH - SAVINGS,2023-01-16,1712398.91,,SAVINGS
10017701,100177,1001,INR,KAVYA BANERJEE - CURRENT,2022-05-01,1368139.05,KYC,CURRENT
10017801,100178,1001,INR,ADITYA PILLAI - CURRENT,2023-01-13,582790.02,,CURRENT
10017901,100179,1001,INR,ISHITA AGARWAL - CURRENT,2023-01-30,844854.57,,CURRENT
10017902,100179,6001,INR,ISHITA AGARWAL - SAVINGS,2016-08-18,495500.59,,SAVINGS
10018001,100180,1001,INR,MANISH SHARMA - CURRENT,2020-02-19,831943.86,KYC,CURRENT
10018002,100180,1001,INR,MANISH SHARMA - CURRENT,2025-09-09,139500.71,,CURRENT
10018101,100181,1001,INR,SHRUTI VERMA - CURRENT,2020-04-23,1069952.55,,CURRENT
10018102,100181,6001,INR,SHRUTI VERMA - SAVINGS,2024-11-17,998437.99,,SAVINGS
10018201,100182,1001,INR,VARUN NAIR - CURRENT,2018-02-10,1029624.55,,CURRENT
10018202,100182,6001,INR,VARUN NAIR - SAVINGS,2016-09-10,272823.65,,SAVINGS
10018301,100183,1001,INR,ANANYA LEE - CURRENT,2016-12-11,1768320.47,,CURRENT
10018401,100184,1001,INR,HARISH SINGH - CURRENT,2020-11-28,447067.09,,CURRENT
10018402,100184,1001,INR,HARISH SINGH - CURRENT,2022-11-02,944037.29,,CURRENT
10018501,100185,1001,INR,MEERA BANERJEE - CURRENT,2019-03-04,672074.29,,CURRENT
10018502,100185,6001,INR,MEERA BANERJEE - SAVINGS,2023-08-12,1394374.92,,SAVINGS
10018503,100185,6001,INR,MEERA BANERJEE - SAVINGS,2023-04-05,1420924.64,,SAVINGS
10018601,100186,1001,INR,SAMEER PILLAI - CURRENT,2020-05-02,1004996.84,,CURRENT
10018602,100186,6001,INR,SAMEER PILLAI - SAVINGS,2023-05-13,1303134.98,,SAVINGS
10018701,100187,1001,INR,RITIKA AGARWAL - CURRENT,2016-11-29,271946.43,,CURRENT
10018801,100188,1001,INR,GAURAV SHARMA - CURRENT,2023-05-11,630652.69,,CURRENT
10018802,100188,1001,INR,GAURAV SHARMA - CURRENT,2022-09-03,706436.43,,CURRENT
10018901,100189,1001,INR,NANDINI VERMA - CURRENT,2019-09-07,1006721.34,KYC,CURRENT
10018902,100189,1001,INR,NANDINI VERMA - CURRENT,2025-04-18,1206704.35,,CURRENT
10019001,100190,1001,INR,RAJESH NAIR - CURRENT,2023-07-09,1642537.7,KYC,CURRENT
10019101,100191,1001,INR,PRIYA LEE - CURRENT,2018-01-08,653631.91,,CURRENT
10019102,100191,1001,INR,PRIYA LEE - CURRENT,2024-08-04,616105.62,,CURRENT
10019201,100192,1001,INR,AMIR SINGH - CURRENT,2016-11-12,248911.29,,CURRENT
10019202,100192,6001,INR,AMIR SINGH - SAVINGS,2021-09-10,1418934.13,,SAVINGS
10019301,100193,1001,INR,SNEHA BANERJEE - CURRENT,2016-06-03,1590802.37,,CURRENT
10019401,100194,1001,INR,NIKHIL PILLAI - CURRENT,2022-09-12,1113029.59,,CURRENT
10019501,100195,1001,INR,TANVI AGARWAL - CURRENT,2025-01-26,1496674.08,,CURRENT
10019502,100195,1001,INR,TANVI AGARWAL - CURRENT,2016-06-27,1298547.62,,CURRENT
10019601,100196,1001,USD,VIKRAM SHARMA - CURRENT,2021-01-12,7266.21,,CURRENT
10019701,100197,1001,USD,MEGHA VERMA - CURRENT,2025-05-13,19652.38,,CURRENT
10019702,100197,6001,INR,MEGHA VERMA - SAVINGS,2020-12-09,1027399.28,,SAVINGS
10019703,100197,6001,USD,MEGHA VERMA - SAVINGS,2017-10-25,13281.0,,SAVINGS
10019801,100198,1001,INR,RAHUL NAIR - CURRENT,2018-10-21,250409.76,,CURRENT
10019901,100199,1001,INR,ANITA LEE - CURRENT,2017-02-24,865842.29,KYC,CURRENT
10019902,100199,1001,INR,ANITA LEE - CURRENT,2017-05-25,929363.03,,CURRENT
10019903,100199,6001,INR,ANITA LEE - SAVINGS,2019-01-22,1373965.62,,SAVINGS
10020001,100200,1001,INR,ARJUN SINGH - CURRENT,2017-01-10,1496137.52,,CURRENT
10020002,100200,1001,INR,ARJUN SINGH - CURRENT,2021-01-21,400835.36,,CURRENT
10020101,100201,1001,INR,DIVYA BANERJEE - CURRENT,2020-06-11,747692.09,,CURRENT
10020201,100202,1001,INR,KARAN PILLAI - CURRENT,2020-03-15,1790153.84,,CURRENT
10020202,100202,6001,INR,KARAN PILLAI - SAVINGS,2017-02-09,574654.75,,SAVINGS
10020301,100203,1001,INR,NEHA AGARWAL - CURRENT,2017-07-17,1424798.08,,CURRENT
10020401,100204,1001,INR,ROHAN SHARMA - CURRENT,2021-04-19,1651437.01,,CURRENT
10020402,100204,1001,INR,ROHAN SHARMA - CURRENT,2023-11-29,251118.66,,CURRENT
10020403,100204,6001,INR,ROHAN SHARMA - SAVINGS,2016-11-20,1108203.84,,SAVINGS
10020501,100205,1001,INR,POOJA VERMA - CURRENT,2024-02-26,389355.06,KYC,CURRENT
10020502,100205,1001,INR,POOJA VERMA - CURRENT,2024-09-14,762723.68,,CURRENT
10020503,100205,6001,INR,POOJA VERMA - SAVINGS,2016-07-14,543120.42,,SAVINGS
10020601,100206,1001,INR,SANJAY NAIR - CURRENT,2016-09-14,1150654.69,KYC,CURRENT
10020602,100206,6001,INR,SANJAY NAIR - SAVINGS,2022-09-10,1629406.67,,SAVINGS
10020603,100206,6001,INR,SANJAY NAIR - SAVINGS,2022-06-13,1138070.96,,SAVINGS
10020701,100207,1001,INR,KAVYA LEE - CURRENT,2020-10-24,259722.95,,CURRENT
10020702,100207,6001,INR,KAVYA LEE - SAVINGS,2022-05-26,636039.65,,SAVINGS
10020703,100207,6001,INR,KAVYA LEE - SAVINGS,2016-12-16,1196371.79,,SAVINGS
10020801,100208,1001,INR,ADITYA SINGH - CURRENT,2022-02-06,1716196.51,,CURRENT
10020802,100208,6001,INR,ADITYA SINGH - SAVINGS,2022-03-19,1779014.18,,SAVINGS
10020901,100209,1001,INR,ISHITA BANERJEE - CURRENT,2020-05-03,1572186.59,KYC,CURRENT
10020902,100209,1001,INR,ISHITA BANERJEE - CURRENT,2016-03-07,457689.99,,CURRENT
10020903,100209,6001,INR,ISHITA BANERJEE - SAVINGS,2018-09-14,123005.86,,SAVINGS
10021001,100210,1001,INR,MANISH PILLAI - CURRENT,2019-09-23,1323733.79,,CURRENT
10021101,100211,1001,INR,SHRUTI AGARWAL - CURRENT,2023-03-17,610377.24,,CURRENT
10021102,100211,6001,INR,SHRUTI AGARWAL - SAVINGS,2023-10-19,837124.29,,SAVINGS
10021103,100211,6001,USD,SHRUTI AGARWAL - SAVINGS,2021-02-17,17957.92,,SAVINGS
10021201,100212,1001,INR,VARUN SHARMA - CURRENT,2016-06-20,364061.4,,CURRENT
10021202,100212,6001,INR,VARUN SHARMA - SAVINGS,2020-06-19,559171.48,,SAVINGS
10021203,100212,1001,INR,VARUN SHARMA - CURRENT,2018-11-03,978140.71,,CURRENT
10021301,100213,1001,INR,ANANYA VERMA - CURRENT,2025-09-01,1164950.55,KYC,CURRENT
10021302,100213,1001,INR,ANANYA VERMA - CURRENT,2019-09-21,1558638.2,,CURRENT
10021303,100213,6001,INR,ANANYA VERMA - SAVINGS,2020-11-24,1439117.33,,SAVINGS
10021401,100214,1001,INR,HARISH NAIR - CURRENT,2018-02-04,1610505.53,KYC,CURRENT
10021501,100215,1001,INR,MEERA LEE - CURRENT,2024-12-25,1663872.37,KYC,CURRENT
10021502,100215,6001,INR,MEERA LEE - SAVINGS,2020-10-29,764962.64,,SAVINGS
10021601,100216,1001,INR,SAMEER SINGH - CURRENT,2019-08-08,982535.7,,CURRENT
10021701,100217,1001,INR,RITIKA BANERJEE - CURRENT,2020-12-31,591263.95,KYC,CURRENT
10021702,100217,1001,INR,RITIKA BANERJEE - CURRENT,2023-09-26,767869.76,,CURRENT
10021703,100217,6001,INR,RITIKA BANERJEE - SAVINGS,2024-02-25,805662.69,,SAVINGS
10021801,100218,1001,INR,GAURAV PILLAI - CURRENT,2024-11-15,1796673.85,KYC,CURRENT
10021802,100218,1001,INR,GAURAV PILLAI - CURRENT,2023-02-24,136461.54,,CURRENT
10021901,100219,1001,INR,NANDINI AGARWAL - CURRENT,2017-10-17,1350191.52,,CURRENT
10021902,100219,1001,INR,NANDINI AGARWAL - CURRENT,2022-10-24,258288.87,,CURRENT
