txn_id,account_id,customer_id,txn_date,value_date,amount,txn_type,counterparty,narrative,channel,is_suspicious
FT900168,10012301,100123,2026-07-07,2026-07-07,-4400.65,DEBIT,LANDLORD,FOOD ORDER,ATM,N
FT900169,10011801,100118,2026-06-09,2026-06-09,22909.19,CREDIT,CASH.IN,BUSINESS RECEIPT,UPI,N
FT900170,10015101,100151,2026-05-22,2026-05-22,-50155.81,DEBIT,10011701,MUTUAL FUND SIP,ACH,N
FT900171,10010601,100106,2026-07-09,2026-07-09,-1301792.07,DEBIT,CRYPTO.X,CRYPTO TOPUP,SWIFT,Y
FT900172,10015901,100159,2026-06-28,2026-06-28,-43189.08,DEBIT,10018102,UPI PURCHASE,RTGS,N
FT900173,10019902,100199,2026-07-01,2026-07-01,78796.01,CREDIT,BANK.INT,INTEREST CREDIT,ATM,N
FT900174,10015001,100150,2026-06-08,2026-06-08,-29326.09,DEBIT,UTIL.CO,FOOD ORDER,NEFT,N
FT900175,10010102,100101,2026-07-08,2026-07-08,-542071.98,DEBIT,CRYPTO.X,GAMBLING TOPUP,IB,Y
FT900176,10010101,100101,2026-06-07,2026-06-07,-38217.66,DEBIT,LANDLORD,FOOD ORDER,SWIFT,N
FT900177,10015101,100151,2026-06-25,2026-06-25,-15166.82,DEBIT,10021802,EMI PAYMENT,NEFT,N
FT900178,10018902,100189,2026-05-29,2026-05-29,162205.72,CREDIT,CASH.IN,CASH DEPOSIT,RTGS,N
FT900179,10015701,100157,2026-07-28,2026-07-28,-794250.69,DEBIT,NEW.BEN.777,NEW BENEFICIARY PAYOUT,IB,Y
FT900180,10015901,100159,2026-05-25,2026-05-25,202584.54,CREDIT,CASH.IN,CASH DEPOSIT,ATM,N
FT900181,10011601,100116,2026-06-04,2026-06-04,-50987.73,DEBIT,LANDLORD,MUTUAL FUND SIP,IB,N
FT900182,10021101,100211,2026-05-24,2026-05-24,14308.75,CREDIT,SALARY,SALARY CREDIT,UPI,N
FT900183,10012301,100123,2026-05-12,2026-05-12,-35129.49,DEBIT,UTIL.CO,UPI PURCHASE,RTGS,N
FT900184,10013301,100133,2026-06-17,2026-06-17,-653554.82,DEBIT,CRYPTO.X,VENDOR PAYMENT,SWIFT,Y
FT900185,10020502,100205,2026-05-08,2026-05-08,21895.33,CREDIT,CLIENT.A,SALARY CREDIT,NEFT,N
FT900186,10015703,100157,2026-06-18,2026-06-18,-37664.73,DEBIT,SIP.MF,RENT TRANSFER,ATM,N
FT900187,10010201,100102,2026-06-01,2026-06-01,97429.88,CREDIT,CASH.IN,CASH DEPOSIT,UPI,N
FT900188,10010702,100107,2026-06-30,2026-06-30,25302.16,CREDIT,CLIENT.A,CASH DEPOSIT,SWIFT,N
FT900189,10018802,100188,2026-08-04,2026-08-04,-12773.05,DEBIT,UPI.MERCHANT,MUTUAL FUND SIP,NEFT,N
FT900190,10021701,100217,2026-07-25,2026-07-25,-23975.17,DEBIT,UPI.MERCHANT,FOOD ORDER,RTGS,N
FT900191,10014801,100148,2026-06-05,2026-06-05,-34789.52,DEBIT,UTIL.CO,ATM WITHDRAWAL,RTGS,N
FT900192,10012602,100126,2026-07-28,2026-07-28,-77509.91,DEBIT,LANDLORD,ATM WITHDRAWAL,IB,N
FT900193,10013402,100134,2026-06-13,2026-06-13,-12700.11,DEBIT,10011202,RENT TRANSFER,UPI,N
FT900194,10011302,100113,2026-05-17,2026-05-17,-1063939.08,DEBIT,NEW.BEN.998,NEW BENEFICIARY PAYOUT,IB,Y
FT900195,10021001,100210,2026-08-02,2026-08-02,-51607.21,DEBIT,LANDLORD,EMI PAYMENT,SWIFT,N
FT900196,10014301,100143,2026-05-06,2026-05-06,-1097622.77,DEBIT,VENDOR.Z,BULK SUPPLIER PAY,SWIFT,Y
FT900197,10020902,100209,2026-07-12,2026-07-12,-43464.45,DEBIT,UTIL.CO,EMI PAYMENT,NEFT,N
FT900198,10014101,100141,2026-07-10,2026-07-10,-37524.74,DEBIT,10021702,OWN ACCOUNT TRANSFER,RTGS,N
FT900199,10013503,100135,2026-07-09,2026-07-09,-471682.09,DEBIT,VENDOR.Z,VENDOR PAYMENT,SWIFT,Y
FT900200,10018401,100184,2026-05-03,2026-05-03,96002.81,CREDIT,CLIENT.A,INTEREST CREDIT,ATM,N
FT900201,10018301,100183,2026-06-19,2026-06-19,-57708.18,DEBIT,10019101,ATM WITHDRAWAL,NEFT,N
FT900202,10014201,100142,2026-06-11,2026-06-11,-44162.28,DEBIT,SIP.MF,FOOD ORDER,SWIFT,N
FT900203,10019301,100193,2026-05-17,2026-05-17,-41903.72,DEBIT,UPI.MERCHANT,RENT TRANSFER,IB,N
FT900204,10013901,100139,2026-07-13,2026-07-13,-38881.09,DEBIT,UPI.MERCHANT,ATM WITHDRAWAL,IB,N
FT900205,10018802,100188,2026-06-16,2026-06-16,-56134.99,DEBIT,UPI.MERCHANT,EMI PAYMENT,ATM,N
FT900206,10014901,100149,2026-05-11,2026-05-11,-74423.86,DEBIT,LANDLORD,RENT TRANSFER,IB,N
FT900207,10020601,100206,2026-06-17,2026-06-17,140388.93,CREDIT,CASH.IN,SALARY CREDIT,NEFT,N
FT900208,10011302,100113,2026-05-10,2026-05-10,-3348.19,DEBIT,SIP.MF,MUTUAL FUND SIP,ATM,N
FT900209,10014702,100147,2026-05-25,2026-05-25,-58041.24,DEBIT,LANDLORD,RENT TRANSFER,IB,N
FT900210,10014301,100143,2026-08-04,2026-08-04,-50063.47,DEBIT,10012302,ATM WITHDRAWAL,ATM,N
FT900211,10019501,100195,2026-07-29,2026-07-29,90774.91,CREDIT,CASH.IN,INTEREST CREDIT,ATM,N
FT900212,10019703,100197,2026-06-13,2026-06-13,-725.68,DEBIT,10015202,UPI PURCHASE,SWIFT,N
FT900213,10013501,100135,2026-07-10,2026-07-10,233512.95,CREDIT,BANK.INT,BUSINESS RECEIPT,ACH,N
FT900214,10017301,100173,2026-07-17,2026-07-17,-50695.94,DEBIT,SIP.MF,UTILITY BILL,SWIFT,N
FT900215,10015202,100152,2026-06-16,2026-06-16,-61280.09,DEBIT,SIP.MF,ATM WITHDRAWAL,ACH,N
FT900216,10020301,100203,2026-05-03,2026-05-03,-58132.43,DEBIT,10013701,UTILITY BILL,IB,N
FT900217,10021601,100216,2026-06-10,2026-06-10,-24096.68,DEBIT,UTIL.CO,MUTUAL FUND SIP,IB,N
FT900218,10010401,100104,2026-05-13,2026-05-13,70437.37,CREDIT,CLIENT.A,CASH DEPOSIT,SWIFT,N
FT900219,10010801,100108,2026-06-01,2026-06-01,-21272.56,DEBIT,10021902,UPI PURCHASE,UPI,N
FT900220,10015102,100151,2026-08-02,2026-08-02,-45681.92,DEBIT,UTIL.CO,MUTUAL FUND SIP,IB,N
FT900221,10011701,100117,2026-05-13,2026-05-13,-39113.28,DEBIT,10019601,FOOD ORDER,UPI,N
